Year,Town,Census Units,Government Assisted,Tenant Rental Assistance, Single Family CHFA/ USDA Mortgages,Deed Restricted Units,Total Assisted Units,Percent Affordable
2022,Woodbury,4564,60,6,26,0,92,2.02
2022,Woodstock,3582,24,0,24,0,48,1.34
2023,Andover,1324,24,1,26,0,51,3.85
2023,Ansonia,8104,232,818,137,0,1187,14.65
2023,Ashford,1923,32,0,30,0,62,3.22
2023,Avon,7713,244,25,30,2,301,3.9
2023,Barkhamsted,1566,0,5,23,0,28,1.79
2023,Beacon Falls,2618,0,7,42,0,49,1.87
2023,Berlin,8571,556,46,118,4,724,8.45
2023,Bethany,2039,0,2,9,0,11,0.54
2023,Bethel,7980,192,26,117,83,418,5.24
2023,Bethlehem,1605,24,0,4,0,28,1.74
2023,Bloomfield,9717,612,138,285,0,1035,10.65
2023,Bolton,2045,0,1,34,0,35,1.71
2023,Bozrah,1131,0,2,24,0,26,2.3
2023,Branford,14180,243,64,124,9,440,3.1
2023,Bridgeport,58874,7027,4385,750,12,12174,20.68
2023,Bridgewater,863,0,0,1,0,1,0.12
2023,Bristol,27251,2006,966,1004,0,3976,14.59
2023,Brookfield,7116,155,26,78,112,371,5.21
2023,Brooklyn,3342,205,11,53,0,269,8.05
2023,Burlington,3628,27,0,46,0,73,2.01
2023,Canaan,639,1,2,4,3,10,1.56
2023,Canterbury,2044,76,1,50,0,127,6.21
2023,Canton,4383,251,32,45,32,360,8.21
2023,Chaplin,955,0,1,26,0,27,2.83
2023,Cheshire,10401,258,15,76,17,366,3.52
2023,Chester,1793,23,4,12,0,39,2.18
2023,Clinton,6283,105,8,58,0,171,2.72
2023,Colchester,6441,364,39,124,4,531,8.24
2023,Colebrook,694,0,0,6,1,7,1.01
2023,Columbia,2294,24,2,47,0,73,3.18
2023,Cornwall,1002,28,2,6,0,36,3.59
2023,Coventry,5273,103,3,115,20,241,4.57
2023,Cromwell,6162,212,11,154,0,377,6.12
2023,Danbury,33562,1652,1297,368,210,3527,10.51
2023,Darien,7265,161,18,1,117,297,4.09
2023,Deep River,2112,44,7,28,0,79,3.74
2023,Derby,5759,275,323,101,0,699,12.14
2023,Durham,2828,36,0,23,0,59,2.09
2023,Eastford,806,0,1,10,0,11,1.36
2023,East Granby,2183,72,2,37,0,111,5.08
2023,East Haddam,4477,73,2,51,0,126,2.81
2023,East Hampton,5637,70,5,81,25,181,3.21
2023,East Hartford,21361,1593,788,973,0,3354,15.7
2023,East Haven,12394,612,165,255,0,1032,8.33
2023,East Lyme,9080,452,23,76,19,570,6.28
2023,Easton,2756,0,0,4,10,14,0.51
2023,East Windsor,5348,559,40,102,0,701,13.11
2023,Ellington,7054,260,6,98,0,364,5.16
2023,Enfield,17741,1360,232,565,7,2164,12.2
2023,Essex,3329,75,1,15,16,107,3.21
2023,Fairfield,21982,231,163,58,219,671,3.05
2023,Farmington,11667,538,129,115,155,937,8.03
